IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.80.91,10,10,0.00,83.02,20.12
172.66.44.184,10,9,0.10,212.38,15.35
172.66.152.241,10,9,0.10,217.19,6.67
104.25.67.214,10,9,0.10,213.56,5.27
172.67.251.157,10,9,0.10,216.22,4.54
172.67.196.221,10,9,0.10,214.26,3.32
104.25.91.192,10,10,0.00,213.32,3.14
104.25.208.33,10,9,0.10,211.58,2.88
172.67.190.218,10,10,0.00,216.59,2.68
172.67.243.22,10,9,0.10,217.48,2.61
104.20.157.26,10,9,0.10,214.98,2.44
172.66.167.1,10,10,0.00,219.33,2.27
104.25.75.143,10,9,0.10,213.49,2.17
172.67.187.131,10,9,0.10,213.55,1.88
172.67.189.146,10,9,0.10,214.20,1.71
172.66.164.236,10,9,0.10,216.55,1.49
172.66.165.130,10,10,0.00,216.86,1.48
172.67.6.151,10,10,0.00,224.59,1.21
172.67.8.64,10,10,0.00,226.56,1.08
172.65.101.19,10,9,0.10,213.47,0.00
172.65.85.75,10,9,0.10,213.91,0.00
172.65.69.164,10,10,0.00,218.22,0.00
172.65.52.78,10,10,0.00,215.77,0.00
172.65.65.112,10,10,0.00,213.55,0.00
172.65.133.172,10,9,0.10,217.67,0.00
